id,timestamp,longitude,latitude,description,geometry
0,1994/05/13 00:00:00+00,-121.8053,48.64056,Report 60: Missing Cattle and large footprints found Class B; Skagit County,POINT (-121.8053 48.64056)
16,1996/04/14 00:00:00+00,-122.8994,47.7442,Report 942: 17-18 inch tracks in the mud Class B; Jefferson County,POINT (-122.8994 47.7442)
17,1974/07/06 00:00:00+00,-121.6406,48.02611,Report 967: Teenage dirt bike riders hear screams Class B; Snohomish County,POINT (-121.6406 48.02611)
18,1950/05/01 00:00:00+00,-121.6508,45.75056,Report 1043: Mother relates story of daughter sighting a large animal near Mill A School Class B; Skamania County,POINT (-121.6508 45.75056)
19,2000/07/15 00:00:00+00,-120.3,47.29833,Report 1109: Campers hear vocalizations near Clear Lake Class B; Chelan County,POINT (-120.3 47.29833)
20,2000/12/01 00:00:00+00,-124.053,47.0413,Report 1131: Hunter hears strange noises near Montesano Class B; Grays Harbor County,POINT (-124.053 47.0413)
21,1997/01/01 00:00:00+00,-120.7967,47.14472,Report 1160: Woman hears unrecognizable vocalizations near Cle Elum Class B; Kittitas County,POINT (-120.7967 47.14472)
22,1996/04/17 00:00:00+00,-123.6619,47.01139,Report 1227: Tracks found on an old logging trail.  Class B; Grays Harbor County,POINT (-123.6619 47.01139)
23,2001/01/16 00:00:00+00,-117.9486,46.03333,Report 1263: Rooks Park Investigation Class B; Walla Walla County,POINT (-117.9486 46.03333)
24,1970/05/13 00:00:00+00,-121.7569,47.5225,Report 1384: Vocalizations heard by hikers Class B; King County,POINT (-121.7569 47.5225)
25,1984/08/15 00:00:00+00,-121.4317,47.425,Report 1385: High pitched wailing scream echoed off mountainside.  Class B; King County,POINT (-121.4317 47.425)
26,1998/05/18 00:00:00+00,-121.5356,47.3958,Report 1386: Two unsusual man-like tracks discovered Class B; King County,POINT (-121.5356 47.3958)
27,1995/09/13 00:00:00+00,-121.7565,47.1998,Report 1389: Hikers hear loud vocal exchanges on Grass Mountain.  Class B; King County,POINT (-121.7565 47.1998)
28,1997/07/05 00:00:00+00,-120.8908,47.25722,"Report 1394: Campers hear loud guttral, high pitched  sceams.  Class B; Kittitas County",POINT (-120.8908 47.25722)
29,2000/10/28 00:00:00+00,-121.2692,46.93333,Report 1438: Barefoot tracks and whistling heard while hunting Class B; Yakima County,POINT (-121.2692 46.93333)
30,2000/06/13 00:00:00+00,-121.2981,46.87139,Report 1462: Sound heard month earlier than another report in same area Class B; Yakima County,POINT (-121.2981 46.87139)
31,1996/02/17 00:00:00+00,-121.7731,47.4317,Report 1478: Worse than something dead smell encountered by two fishermen Class B; King County,POINT (-121.7731 47.4317)
32,1967/08/18 00:00:00+00,-122.9367,46.49139,"Report 1564: ""Brinson Monster""  Class B; Lewis County",POINT (-122.9367 46.49139)
33,1980/11/12 00:00:00+00,-121.4625,46.55139,Report 1565: Tracks found near a mountainside clear cut Class B; Lewis County,POINT (-121.4625 46.55139)
34,1996/04/14 00:00:00+00,-123.2334,47.3542,Report 1567: Hikers find a large track Class B; Mason County,POINT (-123.2334 47.3542)
35,1997/10/15 00:00:00+00,-120.1075,48.61972,Report 1569: Screams heard by hunters Class B; Okanogan County,POINT (-120.1075 48.61972)
36,1996/08/24 00:00:00+00,-117.4694,48.66611,Report 1572: Campers hear loud scream in National Forest Class B; Pend Oreille County,POINT (-117.4694 48.66611)
37,2000/03/13 00:00:00+00,-122.5386,47.00444,Report 1584: Loud knocking of wood striking another piece of wood Class B; Pierce County,POINT (-122.5386 47.00444)
38,1985/07/26 00:00:00+00,-122.7607,46.9363,Report 1585: Witness reports bad smell and a scream Class B; Thurston County,POINT (-122.7607 46.9363)
39,1979/11/16 00:00:00+00,-121.8211,47.05472,Report 1589: Two hunters find large track Class B; Pierce County,POINT (-121.8211 47.05472)
40,1996/01/01 00:00:00+00,-122.5819,47.3724,Report 1591: Sounds heard answered by another more distant source Class B; Pierce County,POINT (-122.5819 47.3724)
41,1980/04/16 00:00:00+00,-122.4328,47.15556,Report 1593: Sounds heard like growling Class B; Pierce County,POINT (-122.4328 47.15556)
42,1972/08/15 00:00:00+00,-122.1967,46.06333,Report 1612: Screams terrify campers near Mt. St. Helens Class B; Cowlitz County,POINT (-122.1967 46.06333)
43,1969/03/09 00:00:00+00,-121.7913,46.3341,Report 1620: Family on vacation find tracks in an isolated area.  Class B; Skamania County,POINT (-121.7913 46.3341)
44,1998/06/18 00:00:00+00,-122.0514,46.17861,Report 1647: Witness heard what sounded like sticks being beaten on wood Class B; Skamania County,POINT (-122.0514 46.17861)
45,1998/08/28 00:00:00+00,-121.8134,47.8895,Report 1669: Witness saw a large man-like figure deep in the woods Class B; Snohomish County,POINT (-121.8134 47.8895)
46,1973/08/15 00:00:00+00,-122.4133,46.803,Report 1680: Young boy awakened by a loud roaring scream (Part 1) Class B; Thurston County,POINT (-122.4133 46.803)
47,1981/09/16 00:00:00+00,-122.4133,46.803,Report 1681: Young boy awakened by a loud roaring scream (Part 2) Class B; Thurston County,POINT (-122.4133 46.803)
48,1976/06/16 00:00:00+00,-122.1483,48.78056,Report 1684: Husband and wife harassed by unseen creatures at their camp late at night Class B; Whatcom County,POINT (-122.1483 48.78056)
49,1996/11/01 00:00:00+00,-121.1458,46.5602,Report 1690: Hunters hear unusual animal stalking them at night.  Class B; Yakima County,POINT (-121.1458 46.5602)
50,1961/12/28 00:00:00+00,-117.1153,47.92528,Report 1691: Tracks found in deep snow Class B; Spokane County,POINT (-117.1153 47.92528)
51,1975/04/16 00:00:00+00,-121.705,48.2688,"Report 1721: Children find 19"" tracks in snow Class B; Snohomish County",POINT (-121.705 48.2688)
52,1978/04/30 00:00:00+00,-122.0874,47.0945,Report 1731: 25-50 Footprints found near Orting Class B; Pierce County,POINT (-122.0874 47.0945)
53,1998/08/27 00:00:00+00,-122.015,46.10444,Report 1766: Family finds track and scat pile while hiking southeast of Mt. St. Helens Class B; Skamania County,POINT (-122.015 46.10444)
54,2000/05/15 00:00:00+00,-121.6594,47.1608,Report 1815: Hiker encounters intimidating beating sounds and heavy running footsteps Class B; King County,POINT (-121.6594 47.1608)
55,1994/09/10 00:00:00+00,-121.725,47.41,Report 1841: Fishing guides thought they were chased onto a dam Class B; King County,POINT (-121.725 47.41)
56,1970/11/22 00:00:00+00,-120.2758,47.19944,Report 1895: Four hunters find large tracks in snow outside their camp Class B; Kittitas County,POINT (-120.2758 47.19944)
57,2001/03/04 00:00:00+00,-122.1283,46.10861,Report 1904: Mountain climbers hear loud scream on Mount St. Helens Class B; Skamania County,POINT (-122.1283 46.10861)
58,2000/03/06 00:00:00+00,-118.0519,46.0675,Report 1917: BFRO field investigator finds sasquatch tracks in the snow Class B; Walla Walla County,POINT (-118.0519 46.0675)
59,2004/10/16 00:00:00+00,-121.0777,47.2842,Report 1996: Screams wake campers on consecutive nights at Cle Elum Lake Class B; Kittitas County,POINT (-121.0777 47.2842)
60,2000/07/25 00:00:00+00,-121.2764,46.82167,Report 2268: Three campers near Bumping Lake hear vocalizations from Nelson Ridge Class B; Yakima County,POINT (-121.2764 46.82167)
61,1970/04/14 00:00:00+00,-121.1544,47.7117,Report 2602: Loud vocalizations heard near Stevens Pass Class B; King County,POINT (-121.1544 47.7117)
62,2001/07/03 00:00:00+00,-123.1583,47.2641,Report 2760: Environmental Engineer hears calling and responding screams Class B; Mason County,POINT (-123.1583 47.2641)
63,2001/08/11 00:00:00+00,-121.8,46.1333,Report 3024: Campers hear vocalizations and find possible prints near Skookum Meadow Class B; Skamania County,POINT (-121.8 46.1333)
64,2001/08/15 00:00:00+00,-121.6667,45.9667,"Report 3188: Spelunkers hear loud, garbled howls on consecutive nights near Trout Lake Class B; Skamania County",POINT (-121.6667 45.9667)
65,1990/10/15 00:00:00+00,-122.4275,46.5347,Report 3379: Loud vocalizations heard above Riffe Lake Class B; Lewis County,POINT (-122.4275 46.5347)
66,2001/08/01 00:00:00+00,-121.9697,47.85556,Report 3585: Hikers find nest-like structure in dense forest north of Monroe Class B; Snohomish County,POINT (-121.9697 47.85556)
67,2004/10/10 00:00:00+00,-122.8241,48.09725,"Report 3613: Late at night, man hears powerful vocalizations south of Port Townsend Class B; Jefferson County",POINT (-122.8241 48.09725)
68,2001/10/12 00:00:00+00,-118.9844,48.40611,Report 3623: Two deer hunters find tracks near Buckhorn Mountain Class B; Okanogan County,POINT (-118.9844 48.40611)
69,2004/10/17 00:00:00+00,-117.6454,47.981,"Report 3673: Woman finds large tracks on her property near Clayton, Wa Class B; Stevens County",POINT (-117.6454 47.981)
70,2001/10/29 00:00:00+00,-121.0638,46.621,Report 3759: Elk hunters encounter large animal and hear vocalizations near Rimrock Lake Class B; Yakima County,POINT (-121.0638 46.621)
71,2000/09/15 00:00:00+00,-121.7064,46.08515,Report 3786: Bow hunters find footprint and hear vocalizations near Indian Heaven Wilderness Class B; Skamania County,POINT (-121.7064 46.08515)
72,1999/09/06 00:00:00+00,-121.7944,46.1036,Report 3800: Bowhunters find track and hear vocalizations near Indian Heaven Wilderness Class B; Skamania County,POINT (-121.7944 46.1036)
73,1973/10/20 00:00:00+00,-121.8078,48.2775,Report 4323: Two hunters hear nighttime vocalizations near Darrington Class B; Snohomish County,POINT (-121.8078 48.2775)
74,1982/07/11 00:00:00+00,-121.6278,48.72917,Report 4392: Camper hears heavy footsteps at night around tent at Baker Lake Class B; Whatcom County,POINT (-121.6278 48.72917)
75,1975/07/31 00:00:00+00,-122.0375,47.40667,Report 4403: Late night encounter by young campers in Maple Valley Wa Class B; King County,POINT (-122.0375 47.40667)
76,1970/07/01 00:00:00+00,-122.82,46.37,Report 4669: Memory told of hearing possible vocalizations while camping at Hollywood Gorge near Castle Rock Class B; Cowlitz County,POINT (-122.82 46.37)
77,2002/09/19 00:00:00+00,-122.0252,46.5256,Report 4985: Vocalizations heard by couple at dawn near Randle Class B; Lewis County,POINT (-122.0252 46.5256)
78,2004/12/07 00:00:00+00,-121.1008,47.3991,Report 5136: Multible witnesses hear loud screams and have rocks thrown into camp near Cle Elum lake Class B; Kittitas County,POINT (-121.1008 47.3991)
79,2002/10/17 00:00:00+00,-120.319,47.4822,Report 5162: Man hunting deer finds unusual feces and hears animal Class B; Chelan County,POINT (-120.319 47.4822)
80,2002/10/20 00:00:00+00,-121.9191,46.0969,Report 5176: Several sets of tracks found near Skookum Meadows Class B; Skamania County,POINT (-121.9191 46.0969)
81,2005/01/20 00:00:00+00,-120.718,47.8323,Report 5186: Campers hear loud vocalizations at Fish lake. Class B; Chelan County,POINT (-120.718 47.8323)
82,2004/10/13 00:00:00+00,-118.9505,47.9093,Report 5249: Man exploring canyons southeast of Grand Coulee is growled at by unknown animal Class B; Lincoln County,POINT (-118.9505 47.9093)
83,2002/11/15 00:00:00+00,-122.2864,47.0586,Report 5725: Man hears loud vocalization while woodworking on his porch Class B; Pierce County,POINT (-122.2864 47.0586)
84,2003/04/23 00:00:00+00,-121.1692,45.88039,Report 5953: Family hunting near Wahkiacus is stalked by a large animal Class B; Klickitat County,POINT (-121.1692 45.88039)
85,2005/04/05 00:00:00+00,-124.5301,47.9477,Report 6058: Sol Duc River fisherman experiences large animal crashing through heavy brush Class B; Clallam County,POINT (-124.5301 47.9477)
86,2003/06/21 00:00:00+00,-121.3676,47.8901,Report 6527: Campers find a large track Class B; Snohomish County,POINT (-121.3676 47.8901)
87,2003/06/25 00:00:00+00,-121.9192,46.21583,Report 6559: Multiple screams heard Class B; Skamania County,POINT (-121.9192 46.21583)
88,1994/06/15 00:00:00+00,-119.7023,48.9138,Report 6712: Campers hear complex vocalization Class B; Okanogan County,POINT (-119.7023 48.9138)
89,2000/06/17 00:00:00+00,-123.8979,47.4645,Report 6814: Couple Sees Large Animal and Hears Vocalizations and Knocks Class B; Jefferson County,POINT (-123.8979 47.4645)
90,2003/08/15 00:00:00+00,-121.6967,48.9058,"Report 6864: Campers hear footfalls, rock clicking and find foorprints Class B; Whatcom County",POINT (-121.6967 48.9058)
91,2003/12/09 00:00:00+00,-121.5497,47.0228,Report 6990: Scream heard while staying overnight near Greenwater Class B; Pierce County,POINT (-121.5497 47.0228)
92,2002/11/02 00:00:00+00,-121.6606,46.7225,Report 7038: Large footprints found in snow above Packwood Class B; Lewis County,POINT (-121.6606 46.7225)
93,1978/07/15 00:00:00+00,-123.1208,47.5958,Report 7439: Fisherman observes large rock flung into Hamma Hamma River Class B; Mason County,POINT (-123.1208 47.5958)
94,1981/05/31 00:00:00+00,-122.2738,46.79955,Report 7481: Children have sighting near Alder Lake Class B; Pierce County,POINT (-122.2738 46.79955)
95,2004/11/16 00:00:00+00,-123.4898,47.2293,Report 7580: Man shares encounters of an unknown subject Class B; Mason County,POINT (-123.4898 47.2293)
96,2005/02/05 00:00:00+00,-121.8864,45.723,Report 7593: Stevenson Ridge vocalization startles father and son Class B; Skamania County,POINT (-121.8864 45.723)
97,2004/05/25 00:00:00+00,-121.4454,47.46312,Report 8670: Hiker hears roar north of Alpental Ski Resort at Snow Lake Class B; King County,POINT (-121.4454 47.46312)
98,2001/09/15 00:00:00+00,-122.8531,47.9237,Report 8978: Boys are chased on way home from bow hunting Class B; Jefferson County,POINT (-122.8531 47.9237)
99,2004/07/22 00:00:00+00,-121.5633,47.40245,Report 9121: Outdoorsman hears vocalizations near Tinkham Campground Class B; King County,POINT (-121.5633 47.40245)
100,2004/09/30 00:00:00+00,-122.0262,48.21095,Report 9128: Boy walking near Jim Creek in afternoon hears unknown vocalizations.  Class B; Snohomish County,POINT (-122.0262 48.21095)
101,2004/08/18 00:00:00+00,-121.4044,47.33515,"Report 9175: Just before daybreak, camper hears loud vocalization near Lost Lake Class B; Kittitas County",POINT (-121.4044 47.33515)
102,2003/04/05 00:00:00+00,-121.8943,47.16145,Report 9447: Unusual sounds heard near Enumclaw Class B; Pierce County,POINT (-121.8943 47.16145)
103,2004/09/20 00:00:00+00,-123.7108,48.08025,Report 9510: Family and friends hear a late night vocalization from their home near Lake Sutherland Class B; Clallam County,POINT (-123.7108 48.08025)
104,1990/05/15 00:00:00+00,-121.6669,46.01665,Report 9665: Young girl sees road-crossing figure during car repair stop. Class B; Klickitat County,POINT (-121.6669 46.01665)
105,2004/11/12 00:00:00+00,-122.3416,46.44165,Report 9811: Hunters hear early morning vocalizations near Mossy Rock Class B; Lewis County,POINT (-122.3416 46.44165)
106,2002/11/01 00:00:00+00,-123.3958,47.2055,Report 9850: Two fishermen hear tree knocking and low roar Class B; Mason County,POINT (-123.3958 47.2055)
107,1997/05/15 00:00:00+00,-121.7512,46.0803,Report 9863: Hiking couple hears calls and finds footprints near Mt. Adams Class B; Skamania County,POINT (-121.7512 46.0803)
108,1967/07/15 00:00:00+00,-122.2985,46.951,Report 9868: Youths in Summer Camp have noisy nighttime experience Class B; Pierce County,POINT (-122.2985 46.951)
109,2004/09/30 00:00:00+00,-121.7812,47.4352,Report 9929: Hiker Hears Loud Vocalizations and Thumps Class B; King County,POINT (-121.7812 47.4352)
110,2004/12/18 00:00:00+00,-123.8647,46.988,Report 10062: Man Hears Evening Vocals in Prior Sighting Area  Class B; Grays Harbor County,POINT (-123.8647 46.988)
111,2004/10/11 00:00:00+00,-123.7349,48.1368,Report 10091: Series of vocalizations around the town of Joyce Class B; Clallam County,POINT (-123.7349 48.1368)
112,1987/09/15 00:00:00+00,-122.0247,48.9294,Report 10258: Loud vocalizations repeatedly disturb family Class B; Whatcom County,POINT (-122.0247 48.9294)
113,1993/08/02 00:00:00+00,-121.7476,46.0189,Report 10470: Campers find footprint in Indian Heaven Wilderness Class B; Skamania County,POINT (-121.7476 46.0189)
114,2004/09/15 00:00:00+00,-122.1301,46.3751,Report 10646: Elk hunter hears loud screams at night near Deadman's Lake Class B; Skamania County,POINT (-122.1301 46.3751)
115,2003/07/13 00:00:00+00,-122.2196,48.78336,Report 10948: Campers startled by large figure behind their site Class B; Whatcom County,POINT (-122.2196 48.78336)
116,2004/10/21 00:00:00+00,-124.3324,47.5532,Report 11040: Vocalizations heard by expeditioners on Olympic Peninsula. Class B; Jefferson County,POINT (-124.3324 47.5532)
117,2005/03/31 00:00:00+00,-123.2383,46.8434,Report 11137: Young Girl Experiences Rock and Stick Throwing Class B; Thurston County,POINT (-123.2383 46.8434)
118,2005/04/18 00:00:00+00,-117.2833,48.79056,Report 11186: Possible sighting near Sullivan Lake Class B; Pend Oreille County,POINT (-117.2833 48.79056)
119,2005/04/17 00:00:00+00,-120.2238,47.2637,Report 11313: Turkey hunters surprised by loud vocalizations near Wenatchee Class B; Chelan County,POINT (-120.2238 47.2637)
120,2004/08/11 00:00:00+00,-120.715,47.775,Report 11554: Two neighbors hear mournful screams from nearby Nason Ridge Class B; Chelan County,POINT (-120.715 47.775)
121,2005/07/08 00:00:00+00,-121.3603,46.74778,Report 11702: Campers hear scream and witness rock throwing at Twin Sister Lakes  Class B; Yakima County,POINT (-121.3603 46.74778)
122,1971/03/01 00:00:00+00,-122.5926,47.0849,Report 11930: Soldier sees large figure while on patrol at Fort Lewis Class B; Pierce County,POINT (-122.5926 47.0849)
123,2005/09/15 00:00:00+00,-123.9364,47.86028,Report 12098: Hoh Rain Forest print photographed Class B; Jefferson County,POINT (-123.9364 47.86028)
124,2002/05/01 00:00:00+00,-122.195,47.275,Report 12138: Hikers report possible stalking and rock/stick throwing in White River drainage near Muckleshoot Reservation Class B; King County,POINT (-122.195 47.275)
125,2005/09/12 00:00:00+00,-121.1544,47.71167,Report 12510: Vocalizations near Scenic interrupt a camper’s quiet evening Class B; King County,POINT (-121.1544 47.71167)
126,2005/11/02 00:00:00+00,-122.0297,46.75861,Report 12655: Possible tracks and vocalizations outside Ashford Class B; Pierce County,POINT (-122.0297 46.75861)
127,1981/06/01 00:00:00+00,-121.9313,46.09035,Report 12803: Hikers off Lewis River Trail find large footprint east of Cougar Class B; Lewis County,POINT (-121.9313 46.09035)
128,2006/02/23 00:00:00+00,-123.8796,47.86697,"Report 12844: Hiker photographs track on trail in Hoh River rainforest, on the Olympic Peninsula Class B; Jefferson County",POINT (-123.8796 47.86697)
129,2005/10/15 00:00:00+00,-123.8358,46.93755,Report 12876: Deer hunters hear wood knocks near Aberdeen Class B; Grays Harbor County,POINT (-123.8358 46.93755)
130,2005/11/03 00:00:00+00,-121.1958,47.79222,Report 12929: Daylight encounter with firefighter near Skykomish Class B; Snohomish County,POINT (-121.1958 47.79222)
131,2005/12/03 00:00:00+00,-121.3685,48.66175,Report 12997: Possible vocalizations at Kulshan Campground on Baker Lake Class B; Whatcom County,POINT (-121.3685 48.66175)
132,2005/12/03 00:00:00+00,-120.7426,47.74435,Report 13063: Train engineer reports track find and vocalizations on Stevens Pass Class B; Chelan County,POINT (-120.7426 47.74435)
133,2005/08/19 00:00:00+00,-122.3291,46.13795,Report 13183: Campers hear possible vocalizations at night near Kalama Horse Camp Class B; Skamania County,POINT (-122.3291 46.13795)
134,2005/10/17 00:00:00+00,-120.1611,48.45809,Report 13487: Possible stalking of deer hunters near Falls Creek Class B; Okanogan County,POINT (-120.1611 48.45809)
135,2005/07/27 00:00:00+00,-117.3672,48.86479,Report 13503: Possible moonlight sighting by prospector outside Metaline Falls City Class B; Pend Oreille County,POINT (-117.3672 48.86479)
136,2006/03/03 00:00:00+00,-122.535,47.7504,Report 13721: Possible vocalizations near Indianola Class B; Kitsap County,POINT (-122.535 47.7504)
137,1966/05/01 00:00:00+00,-123.582,47.969,Report 13816: Possible encounter with soldier training training in the Olympic National Forest Class B; Clallam County,POINT (-123.582 47.969)
138,2006/09/12 00:00:00+00,-121.5775,46.14853,Report 15939: Elk hunters finds large human-like track near Trout Lake Class B; Lewis County,POINT (-121.5775 46.14853)
139,2006/11/19 00:00:00+00,-123.2008,47.3978,Report 16053: Possible daytime sighting on Lake Cushman Class B; Mason County,POINT (-123.2008 47.3978)
140,2006/10/06 00:00:00+00,-119.0802,48.71545,Report 16142: Possible whistles and wood knocks heard between Tonasket and Republic Class B; Okanogan County,POINT (-119.0802 48.71545)
141,2006/10/13 00:00:00+00,-121.5777,48.22336,Report 16276: Multiple witnesses hear possible vocalizations near Darrington Class B; Snohomish County,POINT (-121.5777 48.22336)
142,2006/10/18 00:00:00+00,-119.7595,48.3912,Report 16350: Possible vocalizations heard from campground outside Okanogan Class B; Okanogan County,POINT (-119.7595 48.3912)
143,2006/11/03 00:00:00+00,-123.1976,47.396,Report 16416: Possible vocalizations heard near Lake Cushman Class B; Mason County,POINT (-123.1976 47.396)
144,2006/10/20 00:00:00+00,-119.5423,48.94655,Report 16518: Hunter hears guttural scream while on overnight hike outside of Oroville Class B; Okanogan County,POINT (-119.5423 48.94655)
145,2006/08/19 00:00:00+00,-120.1611,48.45809,Report 16631: Hunters find possible footprints and possible tree breaks near Winthrop Class B; Okanogan County,POINT (-120.1611 48.45809)
146,1999/04/15 00:00:00+00,-121.4844,47.1144,Report 16644: Man and wife find large tracks with large stride east of Greenwater Class B; Pierce County,POINT (-121.4844 47.1144)
147,2000/09/01 00:00:00+00,-122.2612,48.1864,Report 17220: Loud roars and screams heard from an unknown animal near Stanwood Class B; Snohomish County,POINT (-122.2612 48.1864)
148,2007/01/15 00:00:00+00,-122.9316,46.50511,Report 17432: Couple hears possible vocalizations half mile north of Winlock Class B; Lewis County,POINT (-122.9316 46.50511)
149,2006/08/01 00:00:00+00,-119.187,48.32956,Report 17570: Possible vocalizations directed at camp of boy scouts near Omak Class B; Okanogan County,POINT (-119.187 48.32956)
150,2005/10/12 00:00:00+00,-122.105,47.6597,Report 17847: Possible late night vocalizations heard outside Redmond Class B; King County,POINT (-122.105 47.6597)
151,1982/07/15 00:00:00+00,-121.8221,46.74551,Report 19937: Man recollects he and his family being followed and hearing close vocalization on Mt. Rainier Class B; Pierce County,POINT (-121.8221 46.74551)
152,1987/07/15 00:00:00+00,-122.6893,46.94445,Report 20435: Woman recalls childhood incident -- possible stalking near Yelm Class B; Thurston County,POINT (-122.6893 46.94445)
153,2007/09/10 00:00:00+00,-122.0467,46.74621,Report 20591: Possible sighting by clay pigeon shooters near the base of Mt. Rainier Class B; Pierce County,POINT (-122.0467 46.74621)
154,2007/08/07 00:00:00+00,-122.1931,46.11887,Report 20923: Group of climbers hear possible vocalizations near Cougar Class B; Cowlitz County,POINT (-122.1931 46.11887)
155,2007/09/03 00:00:00+00,-121.8738,46.40153,"Report 21473: Man and girlfriend, camping, hear loud footsteps and tree knocking near Cispus, Washington Class B; Skamania County",POINT (-121.8738 46.40153)
156,2002/07/15 00:00:00+00,-121.45,47.09685,Report 21807: Teenage girl and her younger sister chased out of the woods near Greenwater Class B; Pierce County,POINT (-121.45 47.09685)
157,2007/10/14 00:00:00+00,-121.6738,47.86405,Report 22017: Possible wood knocks heard while staying at Wallace Falls State Park Class B; Snohomish County,POINT (-121.6738 47.86405)
158,2008/01/28 00:00:00+00,-122.5377,47.74225,Report 22816: Possible vocalizations near Indianola Class B; Kitsap County,POINT (-122.5377 47.74225)
159,2008/02/01 00:00:00+00,-121.905,48.105,Report 23017: Possible vocalizations heard by resident outside Verlot Class B; Snohomish County,POINT (-121.905 48.105)
160,2005/07/16 00:00:00+00,-121.5354,47.55477,"Report 23062: Angler finds tracks, hears knocks and senses ominous presence east of North Bend Class B; King County",POINT (-121.5354 47.55477)
161,2008/06/01 00:00:00+00,-122.9539,48.03632,Report 23068: Unknown animal heard crashing through property near Blyn and Sequim Bay Class B; Jefferson County,POINT (-122.9539 48.03632)
162,2005/03/01 00:00:00+00,-121.9677,48.11509,"Report 23170: Possible ""Ohio"" Howls heard near Granite Falls Class B; Snohomish County",POINT (-121.9677 48.11509)
163,1992/12/26 00:00:00+00,-123.6886,46.35099,Report 23300: Couple sees bipedal creature jump across a logging road near Naselle Class B; Pacific County,POINT (-123.6886 46.35099)
164,2006/04/16 00:00:00+00,-121.4821,45.99935,Report 23315: Two turkey hunters near Trout Lake are screamed at by a large black animal Class B; Klickitat County,POINT (-121.4821 45.99935)
165,2008/03/31 00:00:00+00,-120.0,47.32307,Report 23493: Possible tracks in snow east of Humptulips (w/photo) Class B; Grays Harbor County,POINT (-120 47.32307)
166,2004/06/12 00:00:00+00,-123.2349,46.63153,Report 24024: High School friends camping at Rainbow Falls State Park hear vocalizations near Chehalis Class B; Lewis County,POINT (-123.2349 46.63153)
167,2008/07/05 00:00:00+00,-123.9878,47.2331,Report 24216: Possible vocalizations heard near a fish hatchery on the Humptulips River Class B; Grays Harbor County,POINT (-123.9878 47.2331)
168,1983/08/06 00:00:00+00,-122.2484,47.1787,Report 24310: Camper diverts tall creature approaching him near Puyallup Class B; Pierce County,POINT (-122.2484 47.1787)
169,2008/08/06 00:00:00+00,-122.0303,46.39019,Report 24373: Hunter scouting for elk hears stick breaks & a loud scream-howl close to his tent near Randle Class B; Lewis County,POINT (-122.0303 46.39019)
170,2008/08/24 00:00:00+00,-121.9563,47.00008,Report 24612: Couple camping NW of Mt. Rainier hear loud vocals and footsteps Class B; Pierce County,POINT (-121.9563 47.00008)
171,1998/11/21 00:00:00+00,-121.936,46.48441,Report 24714: Two hunters hear vocalizations they cannot identify near Randle Class B; Lewis County,POINT (-121.936 46.48441)
